OriginId,Latitude_mean,Longitude_mean,Name
10004004,54.60247699999999,-5.9330755,"Belfast, North Street"
10012777,54.60389599999999,-5.9462465,"Shankill, Agnes Street"
10002517,54.619152,-5.97316,"Ballysillan, Wheatfield Gardens"
10002506,54.622525,-5.976592999999999,"Ballysillan, Glenbank Corner"
10002511,54.631508,-5.970438,"Ballysillan, Silverstream (Ballysillan Park)"
10002511,54.631508,-5.970438,"Ballysillan, BSN Silverstream Ballysillan Park"
10002504,54.630241000000005,-5.968828,"Ballysillan, Clareglen"
10002503,54.628109,-5.966038,"Ballysillan, Churchview"
10011055,54.609233,-5.9631870000000005,"Shankill, Woodvale Road Youth Club"
10006224,54.6045605,-5.956554000000001,"Falls, Glenwood Street"
10002512,54.6255905,-5.968332500000001,"Ballysillan, Silverstream Gardens"
10002500,54.623522,-5.972818,"Ballysillan, Bilston Road"
10002515,54.624361,-5.974589,"Ballysillan, Tedburn Park"
10012475,54.613032,-5.964112,"Woodvale, Twaddell"
10011048,54.605606,-5.959381499999999,"Shankill, Mayo Street"
10011053,54.606913,-5.962002,"Shankill, Woodvale Avenue"
10012478,54.612632,-5.9637910000000005,"Woodvale, Woodvale Road"
10003939,54.59738,-5.928272,"Belfast, Chichester Street"
10003939,54.59738,-5.928272,"Belfast, CHS Chichester Street"
10012631,54.60166866666666,-5.930293666666667,"Belfast, North Street"
10002509,54.62402900000001,-5.975674,"Ballysillan, Leggagh Court"
10012762,54.629714,-5.9738430000000005,"Ballysillan, Upper Crumlin Road"
10011246,54.605652500000005,-5.9784905,"Springmartin, Ballymagarry Lane"
10011248,54.60434599999999,-5.979902,"Springmartin, Highcliff Gardens"
10012472,54.607704000000005,-5.974843,"Ballygomartin, Lyndhurst Gardens"
10000209,54.608788,-5.965051,"Ballygomartin, Woodvale Park"
10011247,54.601428000000006,-5.981687,"Springmartin, Springmartin Road"
10011252,54.6028715,-5.9817555,"Springmartin, Springhill Primary School"
10011253,54.60051,-5.98051,"Springmartin, Springmartin"
10011245,54.606897,-5.976602,"Ballygomartin, Ballygomartin Road"
10011254,54.601611,-5.981879,"Springmartin, Springmartin Road"
10011254,54.601611,-5.981879,"Springmartin, SPG Springmartin Road"
